13470253144	360	360	720
13509468723	14670	220698	235368
13560439638	1836	9876	11712
13590439668	2232	1908	4140
13630577991	13920	1380	15300
13682846555	3876	5820	9696
13729199489	480	0	480
13736230513	4962	49362	54324
13768778790	240	240	480
13846544121	528	0	528
13956435636	264	3024	3288
13966251146	480	0	480
13975057813	22116	96486	118602
13992314666	6016	7440	13456
15043685818	7318	7076	14394
15910133277	6312	5872	12184
15959002129	3876	360	4236
18271575951	3054	4212	7266
18390173782	19062	4824	23886
84188413	8232	2864	11096
